Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-4bw7,checkpoint-gv9f,checkpoint-fk7v,branch-gxdo,checkpoint-3ran,branch-az1z,checkpoint-ivyp,checkpoint-lc6f,checkpoint-i3d1,randomiser-ab8b,randomiser-jycv,randomiser-ygby,Randomise questionnaire elements?,Question Key,Response
1,1633098216865,01/10/2021 14:23:36,1633098218445,-4,01/10/2021 10:23:38,50681,20,questionnaire-9ki4,,16120804,97s8i9th,4764150,,complete,bzllif,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1366x768,1366x625,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target2,Target1,No,BEGIN QUESTIONNAIRE,
2,1633098221280,01/10/2021 14:23:41,1633098222888,-4,01/10/2021 10:23:42,50681,20,questionnaire-9ki4,,16120804,97s8i9th,4764150,,complete,bzllif,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1366x768,1349x625,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target2,Target1,No,Consent_Q,Consent
3,1633098221452,01/10/2021 14:23:41,1633098222893,-4,01/10/2021 10:23:42,50681,20,questionnaire-9ki4,,16120804,97s8i9th,4764150,,complete,bzllif,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1366x768,1349x625,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target2,Target1,No,Consent_Q-quantised,1
4,1633098221452,01/10/2021 14:23:41,1633098222893,-4,01/10/2021 10:23:42,50681,20,questionnaire-9ki4,,16120804,97s8i9th,4764150,,complete,bzllif,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1366x768,1349x625,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target2,Target1,No,END QUESTIONNAIRE,4448
1,1633098283184,01/10/2021 14:24:43,1633098258458,-5,01/10/2021 09:24:18,50681,20,questionnaire-9ki4,,16120903,kx6011rq,4764172,,complete,vvobru,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1920x1080,1920x975,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target1,Target1,No,BEGIN QUESTIONNAIRE,
2,1633098305667,01/10/2021 14:25:05,1633098280948,-5,01/10/2021 09:24:40,50681,20,questionnaire-9ki4,,16120903,kx6011rq,4764172,,complete,vvobru,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1920x1080,1903x975,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target1,Target1,No,Consent_Q,Consent
3,1633098305854,01/10/2021 14:25:05,1633098280949,-5,01/10/2021 09:24:40,50681,20,questionnaire-9ki4,,16120903,kx6011rq,4764172,,complete,vvobru,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1920x1080,1903x975,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target1,Target1,No,Consent_Q-quantised,1
4,1633098305854,01/10/2021 14:25:05,1633098280950,-5,01/10/2021 09:24:40,50681,20,questionnaire-9ki4,,16120903,kx6011rq,4764172,,complete,vvobru,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1920x1080,1903x975,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target1,Target1,No,END QUESTIONNAIRE,22491
1,1633098296291,01/10/2021 14:24:56,1633098295351,-7,01/10/2021 07:24:55,50681,20,questionnaire-9ki4,,16120919,9ar5duyc,4764183,,complete,wtoirl,,computer,Desktop or Laptop,Windows 8.1,Chrome 94.0.4606.61,1364x768,1364x695,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target2,No,BEGIN QUESTIONNAIRE,
2,1633098305298,01/10/2021 14:25:05,1633098304452,-7,01/10/2021 07:25:04,50681,20,questionnaire-9ki4,,16120919,9ar5duyc,4764183,,complete,wtoirl,,computer,Desktop or Laptop,Windows 8.1,Chrome 94.0.4606.61,1364x768,1347x695,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target2,No,Consent_Q,Consent
3,1633098305510,01/10/2021 14:25:05,1633098304454,-7,01/10/2021 07:25:04,50681,20,questionnaire-9ki4,,16120919,9ar5duyc,4764183,,complete,wtoirl,,computer,Desktop or Laptop,Windows 8.1,Chrome 94.0.4606.61,1364x768,1347x695,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target2,No,Consent_Q-quantised,1
4,1633098305510,01/10/2021 14:25:05,1633098304455,-7,01/10/2021 07:25:04,50681,20,questionnaire-9ki4,,16120919,9ar5duyc,4764183,,complete,wtoirl,,computer,Desktop or Laptop,Windows 8.1,Chrome 94.0.4606.61,1364x768,1347x695,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target2,No,END QUESTIONNAIRE,9104
