Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-4bw7,checkpoint-gv9f,checkpoint-fk7v,branch-gxdo,checkpoint-3ran,branch-az1z,checkpoint-ivyp,checkpoint-lc6f,checkpoint-i3d1,randomiser-ab8b,randomiser-jycv,randomiser-ygby,Randomise questionnaire elements?,Question Key,Response
1,1633098765538,01/10/2021 14:32:45,1633098761373,-5,01/10/2021 09:32:41,50681,20,questionnaire-xzp5,,16121545,uidnl17m,4764161,,complete,alhjjr,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1280x720,1280x578,Demographics complete,Debrief (Mturk),2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target1,Target1,No,BEGIN QUESTIONNAIRE,
2,1633098770695,01/10/2021 14:32:50,1633098766555,-5,01/10/2021 09:32:46,50681,20,questionnaire-xzp5,,16121545,uidnl17m,4764161,,complete,alhjjr,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1280x720,1280x578,Demographics complete,Debrief (Mturk),2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target1,Target1,No,END QUESTIONNAIRE,5182
1,1633099177706,01/10/2021 14:39:37,1633099177560,-7,01/10/2021 07:39:37,50681,20,questionnaire-xzp5,,16122190,n3wfpsxf,4764160,,complete,kkqgcm,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1364x768,1195x557,Demographics complete,Debrief (Mturk),2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target1,No,BEGIN QUESTIONNAIRE,
2,1633099203314,01/10/2021 14:40:03,1633099203168,-7,01/10/2021 07:40:03,50681,20,questionnaire-xzp5,,16122190,n3wfpsxf,4764160,,complete,kkqgcm,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1364x768,1195x557,Demographics complete,Debrief (Mturk),2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target1,No,END QUESTIONNAIRE,25608
1,1633099197940,01/10/2021 14:39:57,1633099382932,-5,01/10/2021 09:43:02,50681,20,questionnaire-xzp5,,16122220,uyv36hwt,4764149,,complete,szgcgt,,computer,Desktop or Laptop,Windows 7,Chrome 94.0.4606.71,1280x1024,1107x696,Demographics complete,Debrief (Mturk),2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target2,Target2,No,BEGIN QUESTIONNAIRE,
2,1633099203053,01/10/2021 14:40:03,1633099388072,-5,01/10/2021 09:43:08,50681,20,questionnaire-xzp5,,16122220,uyv36hwt,4764149,,complete,szgcgt,,computer,Desktop or Laptop,Windows 7,Chrome 94.0.4606.71,1280x1024,1107x696,Demographics complete,Debrief (Mturk),2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target2,Target2,No,END QUESTIONNAIRE,5140
1,1633099304398,01/10/2021 14:41:44,1633099304229,-4,01/10/2021 10:41:44,50681,20,questionnaire-xzp5,,16122366,a0ru9cvt,4764181,,complete,aqckta,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1536x864,1536x754,Demographics complete,Debrief (Mturk),2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target2,No,BEGIN QUESTIONNAIRE,
2,1633099310739,01/10/2021 14:41:50,1633099310617,-4,01/10/2021 10:41:50,50681,20,questionnaire-xzp5,,16122366,a0ru9cvt,4764181,,complete,aqckta,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1536x864,1536x754,Demographics complete,Debrief (Mturk),2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target2,No,END QUESTIONNAIRE,6389
1,1633099318713,01/10/2021 14:41:58,1633099325121,-7,01/10/2021 07:42:05,50681,20,questionnaire-xzp5,,16122384,zc7x41bu,4764232,,complete,hefkph,,computer,Desktop or Laptop,Windows 7,Chrome 94.0.4606.61,1366x768,1366x625,Demographics complete,Debrief (Mturk),2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target1,Target1,No,BEGIN QUESTIONNAIRE,
2,1633099326973,01/10/2021 14:42:06,1633099333432,-7,01/10/2021 07:42:13,50681,20,questionnaire-xzp5,,16122384,zc7x41bu,4764232,,complete,hefkph,,computer,Desktop or Laptop,Windows 7,Chrome 94.0.4606.61,1366x768,1366x625,Demographics complete,Debrief (Mturk),2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target1,Target1,No,END QUESTIONNAIRE,8312
1,1633099369766,01/10/2021 14:42:49,1633099369629,-4,01/10/2021 10:42:49,50681,20,questionnaire-xzp5,,16122468,jlby4gor,4764182,,complete,ipvbcs,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x720,1280x609,Demographics complete,Debrief (Mturk),2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target1,No,BEGIN QUESTIONNAIRE,
2,1633099374388,01/10/2021 14:42:54,1633099374259,-4,01/10/2021 10:42:54,50681,20,questionnaire-xzp5,,16122468,jlby4gor,4764182,,complete,ipvbcs,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x720,1280x609,Demographics complete,Debrief (Mturk),2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target1,No,END QUESTIONNAIRE,4630
1,1633099504610,01/10/2021 14:45:04,1633099504407,-4,01/10/2021 10:45:04,50681,20,questionnaire-xzp5,,16122635,8a1fk24e,4764201,,complete,ozodtx,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.71,1536x864,1536x722,Demographics complete,Debrief (Mturk),2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target1,No,BEGIN QUESTIONNAIRE,
2,1633099513616,01/10/2021 14:45:13,1633099512582,-4,01/10/2021 10:45:12,50681,20,questionnaire-xzp5,,16122635,8a1fk24e,4764201,,complete,ozodtx,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.71,1536x864,1536x722,Demographics complete,Debrief (Mturk),2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target1,No,END QUESTIONNAIRE,8175
1,1633099821113,01/10/2021 14:50:21,1633099821046,-4,01/10/2021 10:50:21,50681,20,questionnaire-xzp5,,16123043,80x3s0y9,4764216,,complete,shqacq,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1920x1080,1920x912,Demographics complete,Debrief (Mturk),2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target1,Target1,No,BEGIN QUESTIONNAIRE,
2,1633099824365,01/10/2021 14:50:24,1633099824333,-4,01/10/2021 10:50:24,50681,20,questionnaire-xzp5,,16123043,80x3s0y9,4764216,,complete,shqacq,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1920x1080,1920x912,Demographics complete,Debrief (Mturk),2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target1,Target1,No,END QUESTIONNAIRE,3287
1,1633099821438,01/10/2021 14:50:21,1633099820906,-4,01/10/2021 10:50:20,50681,20,questionnaire-xzp5,,16123045,gl7u7r8j,4764226,,complete,khjrwt,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1920x1080,1191x431,Demographics complete,Debrief (Mturk),2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target2,Target2,No,BEGIN QUESTIONNAIRE,
2,1633099843069,01/10/2021 14:50:43,1633099842629,-4,01/10/2021 10:50:42,50681,20,questionnaire-xzp5,,16123045,gl7u7r8j,4764226,,complete,khjrwt,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1920x1080,1191x431,Demographics complete,Debrief (Mturk),2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target2,Target2,No,END QUESTIONNAIRE,21724
1,1633099851382,01/10/2021 14:50:51,1633099847706,-4,01/10/2021 10:50:47,50681,20,questionnaire-xzp5,,16123080,6jd34bck,4764255,,complete,dulhbg,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1920x1080,1299x860,Demographics complete,Debrief (Mturk),2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target2,No,BEGIN QUESTIONNAIRE,
2,1633099856674,01/10/2021 14:50:56,1633099853060,-4,01/10/2021 10:50:53,50681,20,questionnaire-xzp5,,16123080,6jd34bck,4764255,,complete,dulhbg,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1920x1080,1299x860,Demographics complete,Debrief (Mturk),2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target2,No,END QUESTIONNAIRE,5354
1,1633099939704,01/10/2021 14:52:19,1633099939970,-4,01/10/2021 10:52:19,50681,20,questionnaire-xzp5,,16123196,2xvlolw6,4764421,,complete,gglhrc,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1360x768,1313x623,Demographics complete,Debrief (Mturk),2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target1,Target1,No,BEGIN QUESTIONNAIRE,
2,1633099945102,01/10/2021 14:52:25,1633099945375,-4,01/10/2021 10:52:25,50681,20,questionnaire-xzp5,,16123196,2xvlolw6,4764421,,complete,gglhrc,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1360x768,1313x623,Demographics complete,Debrief (Mturk),2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target1,Target1,No,END QUESTIONNAIRE,5405
1,1633100017539,01/10/2021 14:53:37,1633100014707,-7,01/10/2021 07:53:34,50681,20,questionnaire-xzp5,,16123291,3hczjnnm,4764310,,complete,xzmdqs,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1366x768,1366x625,Demographics complete,Debrief (Mturk),2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target1,No,BEGIN QUESTIONNAIRE,
2,1633100040293,01/10/2021 14:54:00,1633100037472,-7,01/10/2021 07:53:57,50681,20,questionnaire-xzp5,,16123291,3hczjnnm,4764310,,complete,xzmdqs,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1366x768,1366x625,Demographics complete,Debrief (Mturk),2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target1,No,END QUESTIONNAIRE,22765
1,1633100077352,01/10/2021 14:54:37,1633100075433,-7,01/10/2021 07:54:35,50681,20,questionnaire-xzp5,,16123377,97cge4zo,4764476,,complete,rzishi,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1366x768,1366x657,Demographics complete,Debrief (Mturk),2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target1,Target2,No,BEGIN QUESTIONNAIRE,
2,1633100089246,01/10/2021 14:54:49,1633100085865,-7,01/10/2021 07:54:45,50681,20,questionnaire-xzp5,,16123377,97cge4zo,4764476,,complete,rzishi,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1366x768,1366x657,Demographics complete,Debrief (Mturk),2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target1,Target2,No,END QUESTIONNAIRE,10432
1,1633100082882,01/10/2021 14:54:42,1633100082191,1,01/10/2021 15:54:42,50681,20,questionnaire-xzp5,,16123387,m0cvjeoi,4764478,,complete,azrhtb,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 94.0.4606.61,1440x900,840x718,Demographics complete,Debrief (Mturk),2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target1,No,BEGIN QUESTIONNAIRE,
2,1633100088493,01/10/2021 14:54:48,1633100087851,1,01/10/2021 15:54:47,50681,20,questionnaire-xzp5,,16123387,m0cvjeoi,4764478,,complete,azrhtb,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 94.0.4606.61,1440x900,840x718,Demographics complete,Debrief (Mturk),2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target1,No,END QUESTIONNAIRE,5660
1,1633100094758,01/10/2021 14:54:54,1633100094568,-7,01/10/2021 07:54:54,50681,20,questionnaire-xzp5,,16123408,2dotmwv5,4764168,,complete,zejpmh,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1920x1080,1183x687,Demographics complete,Debrief (Mturk),2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target2,No,BEGIN QUESTIONNAIRE,
2,1633100116096,01/10/2021 14:55:16,1633100115948,-7,01/10/2021 07:55:15,50681,20,questionnaire-xzp5,,16123408,2dotmwv5,4764168,,complete,zejpmh,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1920x1080,1183x687,Demographics complete,Debrief (Mturk),2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target2,No,END QUESTIONNAIRE,21380
1,1633100103362,01/10/2021 14:55:03,1633100103110,-4,01/10/2021 10:55:03,50681,20,questionnaire-xzp5,,16123412,ddh23e8q,4764432,,complete,atlvki,,computer,Desktop or Laptop,Windows 10,Firefox 92.0,1366x768,1366x615,Demographics complete,Debrief (Mturk),2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target1,Target2,No,BEGIN QUESTIONNAIRE,
2,1633100113298,01/10/2021 14:55:13,1633100113128,-4,01/10/2021 10:55:13,50681,20,questionnaire-xzp5,,16123412,ddh23e8q,4764432,,complete,atlvki,,computer,Desktop or Laptop,Windows 10,Firefox 92.0,1366x768,1366x615,Demographics complete,Debrief (Mturk),2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target1,Target2,No,END QUESTIONNAIRE,10017
1,1633100187229,01/10/2021 14:56:27,1633100162498,-5,01/10/2021 09:56:02,50681,20,questionnaire-xzp5,,16123523,kx6011rq,4764172,,complete,vvobru,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1920x1080,1920x975,Demographics complete,Debrief (Mturk),2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target1,Target1,No,BEGIN QUESTIONNAIRE,
2,1633100194452,01/10/2021 14:56:34,1633100169746,-5,01/10/2021 09:56:09,50681,20,questionnaire-xzp5,,16123523,kx6011rq,4764172,,complete,vvobru,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1920x1080,1920x975,Demographics complete,Debrief (Mturk),2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target1,Target1,No,END QUESTIONNAIRE,7248
1,1633100235645,01/10/2021 14:57:15,1633100235377,-4,01/10/2021 10:57:15,50681,20,questionnaire-xzp5,,16123584,qoofzb9k,4764329,,complete,jirrrz,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1536x864,1536x722,Demographics complete,Debrief (Mturk),2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target1,No,BEGIN QUESTIONNAIRE,
2,1633100240741,01/10/2021 14:57:20,1633100240486,-4,01/10/2021 10:57:20,50681,20,questionnaire-xzp5,,16123584,qoofzb9k,4764329,,complete,jirrrz,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1536x864,1536x722,Demographics complete,Debrief (Mturk),2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target1,No,END QUESTIONNAIRE,5109
1,1633100527343,01/10/2021 15:02:07,1633100527212,-7,01/10/2021 08:02:07,50681,20,questionnaire-xzp5,,16123925,000ejty7,4764295,,complete,bihduf,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x720,1280x609,Demographics complete,Debrief (Mturk),2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target2,No,BEGIN QUESTIONNAIRE,
2,1633100536700,01/10/2021 15:02:16,1633100536582,-7,01/10/2021 08:02:16,50681,20,questionnaire-xzp5,,16123925,000ejty7,4764295,,complete,bihduf,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x720,1280x609,Demographics complete,Debrief (Mturk),2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target2,No,END QUESTIONNAIRE,9370
1,1633100528722,01/10/2021 15:02:08,1633100528492,0,01/10/2021 15:02:08,50681,20,questionnaire-xzp5,,16123926,h0piu3pe,4764260,,complete,bhijlm,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.32,1366x768,1366x657,Demographics complete,Debrief (Mturk),2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target1,No,BEGIN QUESTIONNAIRE,
2,1633100534370,01/10/2021 15:02:14,1633100534214,0,01/10/2021 15:02:14,50681,20,questionnaire-xzp5,,16123926,h0piu3pe,4764260,,complete,bhijlm,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.32,1366x768,1366x657,Demographics complete,Debrief (Mturk),2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target1,No,END QUESTIONNAIRE,5722
1,1633100576035,01/10/2021 15:02:56,1633100575874,-4,01/10/2021 11:02:55,50681,20,questionnaire-xzp5,,16123978,zb8e0s4z,4764292,,complete,mtcihx,,computer,Desktop or Laptop,Windows 10,Firefox 92.0,1366x768,1319x604,Demographics complete,Debrief (Mturk),2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target2,Target2,No,BEGIN QUESTIONNAIRE,
2,1633100586157,01/10/2021 15:03:06,1633100586050,-4,01/10/2021 11:03:06,50681,20,questionnaire-xzp5,,16123978,zb8e0s4z,4764292,,complete,mtcihx,,computer,Desktop or Laptop,Windows 10,Firefox 92.0,1366x768,1319x604,Demographics complete,Debrief (Mturk),2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target2,Target2,No,END QUESTIONNAIRE,10177
1,1633100806681,01/10/2021 15:06:46,1633100806508,-4,01/10/2021 11:06:46,50681,20,questionnaire-xzp5,,16124202,tvdnry6c,4764632,,complete,piexhl,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1366x768,1366x657,Demographics complete,Debrief (Mturk),2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target1,Target2,No,BEGIN QUESTIONNAIRE,
2,1633100814489,01/10/2021 15:06:54,1633100814368,-4,01/10/2021 11:06:54,50681,20,questionnaire-xzp5,,16124202,tvdnry6c,4764632,,complete,piexhl,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1366x768,1366x657,Demographics complete,Debrief (Mturk),2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target1,Target2,No,END QUESTIONNAIRE,7860
1,1633101009113,01/10/2021 15:10:09,1633101009016,-4,01/10/2021 11:10:09,50681,20,questionnaire-xzp5,,16124370,7ft6kj76,4764454,,complete,mcuqqe,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1920x1080,1920x969,Demographics complete,Debrief (Mturk),2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target2,Target2,No,BEGIN QUESTIONNAIRE,
2,1633101028291,01/10/2021 15:10:28,1633101027967,-4,01/10/2021 11:10:27,50681,20,questionnaire-xzp5,,16124370,7ft6kj76,4764454,,complete,mcuqqe,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1920x1080,1920x969,Demographics complete,Debrief (Mturk),2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target2,Target2,No,END QUESTIONNAIRE,18950
