Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-4bw7,checkpoint-gv9f,checkpoint-fk7v,branch-gxdo,checkpoint-3ran,branch-az1z,checkpoint-ivyp,checkpoint-lc6f,checkpoint-i3d1,randomiser-ab8b,randomiser-jycv,randomiser-ygby,Randomise questionnaire elements?,Question Key,Response
1,1633099128813,01/10/2021 14:38:48,1633099134929,-4,01/10/2021 10:38:54,50681,20,questionnaire-nd1c,,16122119,zxplyeku,4764276,,complete,palaog,,computer,Desktop or Laptop,Windows 10,Edge 93.0.961.38,1280x768,1241x576,Demographics complete,Demographics,3,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target1,No,BEGIN QUESTIONNAIRE,
2,1633099142196,01/10/2021 14:39:02,1633099148387,-4,01/10/2021 10:39:08,50681,20,questionnaire-nd1c,,16122119,zxplyeku,4764276,,complete,palaog,,computer,Desktop or Laptop,Windows 10,Edge 93.0.961.38,1280x768,1241x576,Demographics complete,Demographics,3,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target1,No,Gender,Male
3,1633099142471,01/10/2021 14:39:02,1633099148389,-4,01/10/2021 10:39:08,50681,20,questionnaire-nd1c,,16122119,zxplyeku,4764276,,complete,palaog,,computer,Desktop or Laptop,Windows 10,Edge 93.0.961.38,1280x768,1241x576,Demographics complete,Demographics,3,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target1,No,Gender-quantised,2
4,1633099142471,01/10/2021 14:39:02,1633099148389,-4,01/10/2021 10:39:08,50681,20,questionnaire-nd1c,,16122119,zxplyeku,4764276,,complete,palaog,,computer,Desktop or Laptop,Windows 10,Edge 93.0.961.38,1280x768,1241x576,Demographics complete,Demographics,3,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target1,No,Gender-text,
5,1633099142471,01/10/2021 14:39:02,1633099148389,-4,01/10/2021 10:39:08,50681,20,questionnaire-nd1c,,16122119,zxplyeku,4764276,,complete,palaog,,computer,Desktop or Laptop,Windows 10,Edge 93.0.961.38,1280x768,1241x576,Demographics complete,Demographics,3,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target1,No,Hispanic,No
6,1633099142471,01/10/2021 14:39:02,1633099148390,-4,01/10/2021 10:39:08,50681,20,questionnaire-nd1c,,16122119,zxplyeku,4764276,,complete,palaog,,computer,Desktop or Laptop,Windows 10,Edge 93.0.961.38,1280x768,1241x576,Demographics complete,Demographics,3,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target1,No,Hispanic-quantised,2
7,1633099142471,01/10/2021 14:39:02,1633099148390,-4,01/10/2021 10:39:08,50681,20,questionnaire-nd1c,,16122119,zxplyeku,4764276,,complete,palaog,,computer,Desktop or Laptop,Windows 10,Edge 93.0.961.38,1280x768,1241x576,Demographics complete,Demographics,3,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target1,No,Race-1,White or Caucasian (e.g. European; Middle Eastern; etc.)
8,1633099142471,01/10/2021 14:39:02,1633099148390,-4,01/10/2021 10:39:08,50681,20,questionnaire-nd1c,,16122119,zxplyeku,4764276,,complete,palaog,,computer,Desktop or Laptop,Windows 10,Edge 93.0.961.38,1280x768,1241x576,Demographics complete,Demographics,3,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target1,No,Race-text,
9,1633099142471,01/10/2021 14:39:02,1633099148390,-4,01/10/2021 10:39:08,50681,20,questionnaire-nd1c,,16122119,zxplyeku,4764276,,complete,palaog,,computer,Desktop or Laptop,Windows 10,Edge 93.0.961.38,1280x768,1241x576,Demographics complete,Demographics,3,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target1,No,Education,Masters level degree (for example M.S. or M.A.
10,1633099142471,01/10/2021 14:39:02,1633099148390,-4,01/10/2021 10:39:08,50681,20,questionnaire-nd1c,,16122119,zxplyeku,4764276,,complete,palaog,,computer,Desktop or Laptop,Windows 10,Edge 93.0.961.38,1280x768,1241x576,Demographics complete,Demographics,3,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target1,No,Education-quantised,6
