Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-4bw7,checkpoint-gv9f,checkpoint-fk7v,branch-gxdo,checkpoint-3ran,branch-az1z,checkpoint-ivyp,checkpoint-lc6f,checkpoint-i3d1,randomiser-ab8b,randomiser-jycv,randomiser-ygby,Randomise questionnaire elements?,Question Key,Response
1,1633098244980,01/10/2021 14:24:04,1633098244862,-4,01/10/2021 10:24:04,50681,20,questionnaire-gtvm,,16120849,pnls3i5k,4764154,,complete,mzcbiw,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1364x768,1364x625,Demographics complete,Age,5,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target2,No,BEGIN QUESTIONNAIRE,
2,1633098268487,01/10/2021 14:24:28,1633098266403,-4,01/10/2021 10:24:26,50681,20,questionnaire-gtvm,,16120849,pnls3i5k,4764154,,complete,mzcbiw,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1364x768,1364x625,Demographics complete,Age,5,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target2,No,Age,33
3,1633098268612,01/10/2021 14:24:28,1633098266405,-4,01/10/2021 10:24:26,50681,20,questionnaire-gtvm,,16120849,pnls3i5k,4764154,,complete,mzcbiw,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1364x768,1364x625,Demographics complete,Age,5,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target2,No,Age-quantised,33
4,1633098268612,01/10/2021 14:24:28,1633098266405,-4,01/10/2021 10:24:26,50681,20,questionnaire-gtvm,,16120849,pnls3i5k,4764154,,complete,mzcbiw,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1364x768,1364x625,Demographics complete,Age,5,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target2,No,END QUESTIONNAIRE,21543
1,1633098245960,01/10/2021 14:24:05,1633098245841,-4,01/10/2021 10:24:05,50681,20,questionnaire-gtvm,,16120852,ds8j1p87,4764163,,complete,xuxqdf,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1366x768,1366x625,Demographics complete,Age,5,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target1,No,BEGIN QUESTIONNAIRE,
2,1633098253117,01/10/2021 14:24:13,1633098252792,-4,01/10/2021 10:24:12,50681,20,questionnaire-gtvm,,16120852,ds8j1p87,4764163,,complete,xuxqdf,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1366x768,1366x625,Demographics complete,Age,5,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target1,No,Age,40
3,1633098253258,01/10/2021 14:24:13,1633098252794,-4,01/10/2021 10:24:12,50681,20,questionnaire-gtvm,,16120852,ds8j1p87,4764163,,complete,xuxqdf,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1366x768,1366x625,Demographics complete,Age,5,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target1,No,Age-quantised,40
4,1633098253258,01/10/2021 14:24:13,1633098252794,-4,01/10/2021 10:24:12,50681,20,questionnaire-gtvm,,16120852,ds8j1p87,4764163,,complete,xuxqdf,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1366x768,1366x625,Demographics complete,Age,5,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target1,No,END QUESTIONNAIRE,6953
1,1633098259846,01/10/2021 14:24:19,1633098444824,-5,01/10/2021 09:27:24,50681,20,questionnaire-gtvm,,16120877,uyv36hwt,4764149,,complete,szgcgt,,computer,Desktop or Laptop,Windows 7,Chrome 94.0.4606.71,1280x1024,1107x696,Demographics complete,Age,5,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target2,Target2,No,BEGIN QUESTIONNAIRE,
2,1633098267990,01/10/2021 14:24:27,1633098452994,-5,01/10/2021 09:27:32,50681,20,questionnaire-gtvm,,16120877,uyv36hwt,4764149,,complete,szgcgt,,computer,Desktop or Laptop,Windows 7,Chrome 94.0.4606.71,1280x1024,1107x696,Demographics complete,Age,5,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target2,Target2,No,Age,39
3,1633098268138,01/10/2021 14:24:28,1633098452997,-5,01/10/2021 09:27:32,50681,20,questionnaire-gtvm,,16120877,uyv36hwt,4764149,,complete,szgcgt,,computer,Desktop or Laptop,Windows 7,Chrome 94.0.4606.71,1280x1024,1107x696,Demographics complete,Age,5,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target2,Target2,No,Age-quantised,39
4,1633098268138,01/10/2021 14:24:28,1633098452997,-5,01/10/2021 09:27:32,50681,20,questionnaire-gtvm,,16120877,uyv36hwt,4764149,,complete,szgcgt,,computer,Desktop or Laptop,Windows 7,Chrome 94.0.4606.71,1280x1024,1107x696,Demographics complete,Age,5,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target2,Target2,No,END QUESTIONNAIRE,8174
1,1633098271841,01/10/2021 14:24:31,1633098271679,-4,01/10/2021 10:24:31,50681,20,questionnaire-gtvm,,16120889,puz8oc63,4764169,,complete,lpjvxx,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1366x768,1366x657,Demographics complete,Age,5,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target2,No,BEGIN QUESTIONNAIRE,
2,1633098280418,01/10/2021 14:24:40,1633098280048,-4,01/10/2021 10:24:40,50681,20,questionnaire-gtvm,,16120889,puz8oc63,4764169,,complete,lpjvxx,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1366x768,1366x657,Demographics complete,Age,5,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target2,No,Age,34
3,1633098280543,01/10/2021 14:24:40,1633098280048,-4,01/10/2021 10:24:40,50681,20,questionnaire-gtvm,,16120889,puz8oc63,4764169,,complete,lpjvxx,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1366x768,1366x657,Demographics complete,Age,5,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target2,No,Age-quantised,34
4,1633098280543,01/10/2021 14:24:40,1633098280048,-4,01/10/2021 10:24:40,50681,20,questionnaire-gtvm,,16120889,puz8oc63,4764169,,complete,lpjvxx,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1366x768,1366x657,Demographics complete,Age,5,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target2,No,END QUESTIONNAIRE,8369
1,1633098275353,01/10/2021 14:24:35,1633098279041,-4,01/10/2021 10:24:39,50681,20,questionnaire-gtvm,,16120893,oe986hvy,4764175,,complete,iiwnjc,,computer,Desktop or Laptop,Windows 10,Edge 93.0.961.38,1600x900,1561x748,Demographics complete,Age,5,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target1,No,BEGIN QUESTIONNAIRE,
2,1633098283652,01/10/2021 14:24:43,1633098287536,-4,01/10/2021 10:24:47,50681,20,questionnaire-gtvm,,16120893,oe986hvy,4764175,,complete,iiwnjc,,computer,Desktop or Laptop,Windows 10,Edge 93.0.961.38,1600x900,1561x748,Demographics complete,Age,5,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target1,No,Age,50
3,1633098283819,01/10/2021 14:24:43,1633098287538,-4,01/10/2021 10:24:47,50681,20,questionnaire-gtvm,,16120893,oe986hvy,4764175,,complete,iiwnjc,,computer,Desktop or Laptop,Windows 10,Edge 93.0.961.38,1600x900,1561x748,Demographics complete,Age,5,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target1,No,Age-quantised,50
4,1633098283819,01/10/2021 14:24:43,1633098287539,-4,01/10/2021 10:24:47,50681,20,questionnaire-gtvm,,16120893,oe986hvy,4764175,,complete,iiwnjc,,computer,Desktop or Laptop,Windows 10,Edge 93.0.961.38,1600x900,1561x748,Demographics complete,Age,5,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target1,No,END QUESTIONNAIRE,8498
1,1633098279605,01/10/2021 14:24:39,1633098275717,-5,01/10/2021 09:24:35,50681,20,questionnaire-gtvm,,16120895,uidnl17m,4764161,,complete,alhjjr,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1280x720,1280x578,Demographics complete,Age,5,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target1,Target1,No,BEGIN QUESTIONNAIRE,
2,1633098286973,01/10/2021 14:24:46,1633098281813,-5,01/10/2021 09:24:41,50681,20,questionnaire-gtvm,,16120895,uidnl17m,4764161,,complete,alhjjr,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1280x720,1280x578,Demographics complete,Age,5,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target1,Target1,No,Age,28
3,1633098287635,01/10/2021 14:24:47,1633098281814,-5,01/10/2021 09:24:41,50681,20,questionnaire-gtvm,,16120895,uidnl17m,4764161,,complete,alhjjr,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1280x720,1280x578,Demographics complete,Age,5,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target1,Target1,No,Age-quantised,28
4,1633098287635,01/10/2021 14:24:47,1633098281815,-5,01/10/2021 09:24:41,50681,20,questionnaire-gtvm,,16120895,uidnl17m,4764161,,complete,alhjjr,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1280x720,1280x578,Demographics complete,Age,5,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target1,Target1,No,END QUESTIONNAIRE,6098
1,1633098289152,01/10/2021 14:24:49,1633098288981,-7,01/10/2021 07:24:48,50681,20,questionnaire-gtvm,,16120911,2dotmwv5,4764168,,complete,zejpmh,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1920x1080,1183x687,Demographics complete,Age,5,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target2,No,BEGIN QUESTIONNAIRE,
2,1633098381390,01/10/2021 14:26:21,1633098381256,-7,01/10/2021 07:26:21,50681,20,questionnaire-gtvm,,16120911,2dotmwv5,4764168,,complete,zejpmh,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1920x1080,1183x687,Demographics complete,Age,5,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target2,No,Age,62
3,1633098381595,01/10/2021 14:26:21,1633098381256,-7,01/10/2021 07:26:21,50681,20,questionnaire-gtvm,,16120911,2dotmwv5,4764168,,complete,zejpmh,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1920x1080,1183x687,Demographics complete,Age,5,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target2,No,Age-quantised,62
4,1633098381595,01/10/2021 14:26:21,1633098381256,-7,01/10/2021 07:26:21,50681,20,questionnaire-gtvm,,16120911,2dotmwv5,4764168,,complete,zejpmh,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1920x1080,1183x687,Demographics complete,Age,5,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target2,No,END QUESTIONNAIRE,92275
1,1633098308020,01/10/2021 14:25:08,1633098307113,-7,01/10/2021 07:25:07,50681,20,questionnaire-gtvm,,16120934,9ar5duyc,4764183,,complete,wtoirl,,computer,Desktop or Laptop,Windows 8.1,Chrome 94.0.4606.61,1364x768,1364x695,Demographics complete,Age,5,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target2,No,BEGIN QUESTIONNAIRE,
2,1633098315900,01/10/2021 14:25:15,1633098315040,-7,01/10/2021 07:25:15,50681,20,questionnaire-gtvm,,16120934,9ar5duyc,4764183,,complete,wtoirl,,computer,Desktop or Laptop,Windows 8.1,Chrome 94.0.4606.61,1364x768,1364x695,Demographics complete,Age,5,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target2,No,Age,29
3,1633098316119,01/10/2021 14:25:16,1633098315043,-7,01/10/2021 07:25:15,50681,20,questionnaire-gtvm,,16120934,9ar5duyc,4764183,,complete,wtoirl,,computer,Desktop or Laptop,Windows 8.1,Chrome 94.0.4606.61,1364x768,1364x695,Demographics complete,Age,5,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target2,No,Age-quantised,29
4,1633098316119,01/10/2021 14:25:16,1633098315043,-7,01/10/2021 07:25:15,50681,20,questionnaire-gtvm,,16120934,9ar5duyc,4764183,,complete,wtoirl,,computer,Desktop or Laptop,Windows 8.1,Chrome 94.0.4606.61,1364x768,1364x695,Demographics complete,Age,5,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target2,No,END QUESTIONNAIRE,7930
1,1633098307965,01/10/2021 14:25:07,1633098283185,-5,01/10/2021 09:24:43,50681,20,questionnaire-gtvm,,16120935,kx6011rq,4764172,,complete,vvobru,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1920x1080,1920x975,Demographics complete,Age,5,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target1,Target1,No,BEGIN QUESTIONNAIRE,
2,1633098319909,01/10/2021 14:25:19,1633098295214,-5,01/10/2021 09:24:55,50681,20,questionnaire-gtvm,,16120935,kx6011rq,4764172,,complete,vvobru,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1920x1080,1920x975,Demographics complete,Age,5,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target1,Target1,No,Age,39
3,1633098320089,01/10/2021 14:25:20,1633098295215,-5,01/10/2021 09:24:55,50681,20,questionnaire-gtvm,,16120935,kx6011rq,4764172,,complete,vvobru,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1920x1080,1920x975,Demographics complete,Age,5,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target1,Target1,No,Age-quantised,39
4,1633098320089,01/10/2021 14:25:20,1633098295215,-5,01/10/2021 09:24:55,50681,20,questionnaire-gtvm,,16120935,kx6011rq,4764172,,complete,vvobru,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1920x1080,1920x975,Demographics complete,Age,5,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target1,Target1,No,END QUESTIONNAIRE,12030
1,1633098316549,01/10/2021 14:25:16,1633098329331,-4,01/10/2021 10:25:29,50681,20,questionnaire-gtvm,,16120936,v840wa12,4764166,,complete,eojkvr,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.71,1366x768,1366x657,Demographics complete,Age,5,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target2,No,BEGIN QUESTIONNAIRE,
2,1633098836572,01/10/2021 14:33:56,1633098848180,-4,01/10/2021 10:34:08,50681,20,questionnaire-gtvm,,16120936,v840wa12,4764166,,complete,eojkvr,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.71,1366x768,1366x657,Demographics complete,Age,5,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target2,No,Age,50
3,1633098836936,01/10/2021 14:33:56,1633098848182,-4,01/10/2021 10:34:08,50681,20,questionnaire-gtvm,,16120936,v840wa12,4764166,,complete,eojkvr,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.71,1366x768,1366x657,Demographics complete,Age,5,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target2,No,Age-quantised,50
4,1633098836936,01/10/2021 14:33:56,1633098848183,-4,01/10/2021 10:34:08,50681,20,questionnaire-gtvm,,16120936,v840wa12,4764166,,complete,eojkvr,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.71,1366x768,1366x657,Demographics complete,Age,5,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target2,No,END QUESTIONNAIRE,518852
