Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-4bw7,checkpoint-gv9f,checkpoint-fk7v,branch-gxdo,checkpoint-3ran,branch-az1z,checkpoint-ivyp,checkpoint-lc6f,checkpoint-i3d1,randomiser-ab8b,randomiser-jycv,randomiser-ygby,Randomise questionnaire elements?,Question Key,Response
1,1633098191972,01/10/2021 14:23:11,1633098193545,-4,01/10/2021 10:23:13,50681,20,questionnaire-pcei,,16120788,97s8i9th,4764150,,complete,bzllif,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1366x768,1366x625,Demographics complete,Title Pages,2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target2,Target1,No,BEGIN QUESTIONNAIRE,
2,1633098201075,01/10/2021 14:23:21,1633098202707,-4,01/10/2021 10:23:22,50681,20,questionnaire-pcei,,16120788,97s8i9th,4764150,,complete,bzllif,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1366x768,1366x625,Demographics complete,Title Pages,2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target2,Target1,No,END QUESTIONNAIRE,9162
1,1633098195802,01/10/2021 14:23:15,1633098196002,-7,01/10/2021 07:23:16,50681,20,questionnaire-pcei,,16120790,7ttssdys,4764152,,complete,dteish,,computer,Desktop or Laptop,Windows 7,Firefox 92.0,1440x900,1290x776,Demographics complete,Title Pages,2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target2,No,BEGIN QUESTIONNAIRE,
2,1633098490325,01/10/2021 14:28:10,1633098490183,-7,01/10/2021 07:28:10,50681,20,questionnaire-pcei,,16120790,7ttssdys,4764152,,complete,dteish,,computer,Desktop or Laptop,Windows 7,Firefox 92.0,1440x900,1290x776,Demographics complete,Title Pages,2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target2,No,END QUESTIONNAIRE,294181
1,1633098205854,01/10/2021 14:23:25,1633098205701,-4,01/10/2021 10:23:25,50681,20,questionnaire-pcei,,16120795,pnls3i5k,4764154,,complete,mzcbiw,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1364x768,1364x625,Demographics complete,Title Pages,2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target2,No,BEGIN QUESTIONNAIRE,
2,1633098218492,01/10/2021 14:23:38,1633098218160,-4,01/10/2021 10:23:38,50681,20,questionnaire-pcei,,16120795,pnls3i5k,4764154,,complete,mzcbiw,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1364x768,1364x625,Demographics complete,Title Pages,2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target2,No,END QUESTIONNAIRE,12459
1,1633098215866,01/10/2021 14:23:35,1633098218338,-7,01/10/2021 07:23:38,50681,20,questionnaire-pcei,,16120802,5enitrr5,4764158,,complete,aeemne,,computer,Desktop or Laptop,Windows 10,Firefox 92.0,1600x900,799x804,Demographics complete,Title Pages,2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target1,No,BEGIN QUESTIONNAIRE,
2,1633098304860,01/10/2021 14:25:04,1633098307367,-7,01/10/2021 07:25:07,50681,20,questionnaire-pcei,,16120802,5enitrr5,4764158,,complete,aeemne,,computer,Desktop or Laptop,Windows 10,Firefox 92.0,1600x900,799x804,Demographics complete,Title Pages,2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target1,No,END QUESTIONNAIRE,89029
1,1633098216607,01/10/2021 14:23:36,1633098216457,-7,01/10/2021 07:23:36,50681,20,questionnaire-pcei,,16120805,n3wfpsxf,4764160,,complete,kkqgcm,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1364x768,1195x557,Demographics complete,Title Pages,2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target1,No,BEGIN QUESTIONNAIRE,
2,1633098224836,01/10/2021 14:23:44,1633098224688,-7,01/10/2021 07:23:44,50681,20,questionnaire-pcei,,16120805,n3wfpsxf,4764160,,complete,kkqgcm,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1364x768,1195x557,Demographics complete,Title Pages,2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target1,No,END QUESTIONNAIRE,8231
1,1633098220430,01/10/2021 14:23:40,1633098216540,-5,01/10/2021 09:23:36,50681,20,questionnaire-pcei,,16120806,uidnl17m,4764161,,complete,alhjjr,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1280x720,1280x578,Demographics complete,Title Pages,2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target1,Target1,No,BEGIN QUESTIONNAIRE,
2,1633098235436,01/10/2021 14:23:55,1633098230323,-5,01/10/2021 09:23:50,50681,20,questionnaire-pcei,,16120806,uidnl17m,4764161,,complete,alhjjr,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1280x720,1280x578,Demographics complete,Title Pages,2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target1,Target1,No,END QUESTIONNAIRE,13783
1,1633098220789,01/10/2021 14:23:40,1633098220671,-4,01/10/2021 10:23:40,50681,20,questionnaire-pcei,,16120812,ds8j1p87,4764163,,complete,xuxqdf,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1366x768,1366x625,Demographics complete,Title Pages,2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target1,No,BEGIN QUESTIONNAIRE,
2,1633098225805,01/10/2021 14:23:45,1633098225732,-4,01/10/2021 10:23:45,50681,20,questionnaire-pcei,,16120812,ds8j1p87,4764163,,complete,xuxqdf,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1366x768,1366x625,Demographics complete,Title Pages,2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target1,No,END QUESTIONNAIRE,5061
1,1633098221734,01/10/2021 14:23:41,1633098221600,-4,01/10/2021 10:23:41,50681,20,questionnaire-pcei,,16120813,qpompu9d,4764164,,complete,qtujcq,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1920x1080,1920x969,Demographics complete,Title Pages,2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target2,Target2,No,BEGIN QUESTIONNAIRE,
